,w_ad,w_ad,w_ad,w_ad,w_ad,w_ad,w_ad,w_ad,w_dis,w_dis,w_dis,w_dis,w_dis,w_dis,w_dis,w_dis,w_merged,w_merged,w_merged,w_merged,w_merged,w_merged,w_merged,w_merged,label,label,label,label,label,label,label,label
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
LOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15172.0,0.23090405762195587,0.2582269608974457,4.9869820941239595e-05,0.04083269648253918,0.12708468735218048,0.3193831369280815,0.9978333115577698,15172.0,0.2999018132686615,0.27399298548698425,3.626590842031874e-05,0.07153192162513733,0.2122315913438797,0.47840841114521027,0.9991699457168579,15172.0,0.46919411420822144,0.3259253203868866,2.2105046809883788e-05,0.15201260522007942,0.44910214841365814,0.7766350656747818,0.9996688365936279,15172.0,0.43000263643553915,0.4950924408047091,0.0,0.0,0.0,1.0,1.0
10,12287.0,0.2159186750650406,0.2508240044116974,8.417596109211445e-05,0.03429313562810421,0.11244575679302216,0.29774369299411774,0.9963663816452026,12287.0,0.3058459460735321,0.27998554706573486,2.155768197553698e-05,0.06931484863162041,0.21491815149784088,0.4937458485364914,0.9996200799942017,12287.0,0.4782353937625885,0.33281663060188293,0.00029575987718999386,0.15177524089813232,0.45437613129615784,0.7997309267520905,0.9996185302734375,12287.0,0.40294620330430536,0.4905100837191953,0.0,0.0,0.0,1.0,1.0
11,10162.0,0.21209420263767242,0.2476411610841751,5.544390296563506e-05,0.03307871427386999,0.1098460741341114,0.2909378483891487,0.994128942489624,10162.0,0.31643709540367126,0.27757951617240906,2.8893316994071938e-05,0.07912413403391838,0.23479926586151123,0.507837176322937,0.9984839558601379,10162.0,0.4714687466621399,0.3309131860733032,0.0006975741125643253,0.1524525284767151,0.43642665445804596,0.7928982675075531,0.9994113445281982,10162.0,0.37069474512891165,0.4830146058328143,0.0,0.0,0.0,1.0,1.0
12,9179.0,0.21431265771389008,0.2523270547389984,3.4933604183606803e-05,0.03189716674387455,0.1081385388970375,0.2953156530857086,0.9919666051864624,9179.0,0.31664514541625977,0.28012529015541077,2.4103412215481512e-05,0.07839351892471313,0.23059311509132385,0.5108019709587097,0.9962367415428162,9179.0,0.46904221177101135,0.3349544405937195,0.0009728485601954162,0.13699542731046677,0.4339464604854584,0.7950656712055206,0.9998108744621277,9179.0,0.37629371391219085,0.48448150269006396,0.0,0.0,0.0,1.0,1.0
13,11667.0,0.18259236216545105,0.22763203084468842,8.121784776449203e-05,0.027565493248403072,0.08588983118534088,0.24196375161409378,0.9982837438583374,11667.0,0.30743229389190674,0.2687843143939972,6.063523869670462e-06,0.08044920489192009,0.2308666855096817,0.4806656241416931,0.9959688186645508,11667.0,0.5099753141403198,0.32644954323768616,0.0006514533306472003,0.1959611028432846,0.5258433222770691,0.8178684413433075,0.9993442893028259,11667.0,0.44441587383217623,0.4969220963859211,0.0,0.0,0.0,1.0,1.0
14,14560.0,0.1698722541332245,0.2201910763978958,1.6855918147484772e-05,0.024137348867952824,0.07642631605267525,0.21824108809232712,0.9929172992706299,14560.0,0.2896595001220703,0.27052438259124756,5.889686872251332e-05,0.05656787008047104,0.20117168128490448,0.473514623939991,0.9980987906455994,14560.0,0.5404682755470276,0.3385743498802185,0.0004988385480828583,0.212233517318964,0.5748738646507263,0.8740811198949814,0.9998786449432373,14560.0,0.47081043956043955,0.4991643842941761,0.0,0.0,0.0,1.0,1.0
15,13310.0,0.22924360632896423,0.2532808482646942,0.00010161548561882228,0.03983991779386997,0.13092775642871857,0.31340592354536057,0.9943798184394836,13310.0,0.3611525893211365,0.27314293384552,4.78972215205431e-05,0.1271715722978115,0.3063099682331085,0.5603055953979492,0.9986166954040527,13310.0,0.4096038341522217,0.31617411971092224,0.0008792249718680978,0.11323132365942001,0.34789125621318817,0.6794931292533875,0.9998000264167786,13310.0,0.3663410969196093,0.48182231123753533,0.0,0.0,0.0,1.0,1.0
16,9220.0,0.2168046534061432,0.25022920966148376,5.879658056073822e-05,0.034539603628218174,0.11332802474498749,0.2965104579925537,0.9869754314422607,9220.0,0.3688476085662842,0.2841883897781372,4.7705925680929795e-05,0.11641337722539902,0.3106992691755295,0.5860279947519302,0.9992144107818604,9220.0,0.41434770822525024,0.32673943042755127,0.0004011522978544235,0.10539229586720467,0.33983998000621796,0.7069910615682602,0.9990574717521667,9220.0,0.3554229934924078,0.4786672537039214,0.0,0.0,0.0,1.0,1.0
17,8099.0,0.1964692622423172,0.23607859015464783,0.00018572057888377458,0.030834294855594635,0.09833607077598572,0.2624811679124832,0.9913431406021118,8099.0,0.36377227306365967,0.2840336859226227,0.00013788983051199466,0.1145172193646431,0.30553343892097473,0.5773147642612457,0.9971346855163574,8099.0,0.43975844979286194,0.3279421329498291,0.0011136766988784075,0.12831012159585953,0.3820045292377472,0.749801903963089,0.9991883635520935,8099.0,0.36016792196567476,0.48007858442630247,0.0,0.0,0.0,1.0,1.0
18,7555.0,0.1984928846359253,0.23709535598754883,6.513552943943068e-05,0.03080251906067133,0.09978532791137695,0.2648662328720093,0.9930798411369324,7555.0,0.34996554255485535,0.28071239590644836,0.00010467417450854555,0.10095972567796707,0.2835555374622345,0.5595262348651886,0.9960272312164307,7555.0,0.45154163241386414,0.33234912157058716,0.0011316309683024883,0.13441260904073715,0.39848247170448303,0.7746922373771667,0.9992720484733582,7555.0,0.3841164791528789,0.48641785217308264,0.0,0.0,0.0,1.0,1.0
