"Name","Commit","Runtime","GitHub","Group","Notes","Tags","fold","model","seed","lr","test_acc","test_auc","test_f1","test_loss","test_precision","test_recall","train_loss","valid_acc","valid_auc","valid_f1","valid_loss","valid_precision","valid_recall"
"a3tgcn_2_points_seed1_fold3","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","a3tgcn_2_points_kfold","-","","3","a3tgcn_2_points","1","0.00002149225458233667","0.8821423100490197","0.9531044968170618","0.8664960360927044","0.2794560533542595","0.8720285520944752","0.8610332787309251","0.22596509306739856","0.882711038961039","0.9535711911764452","0.8670640434686778","0.27761148530733754","0.8730460457755992","0.8611634591590048"
"a3tgcn_2_points_seed1_fold4","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","a3tgcn_2_points_kfold","-","","4","a3tgcn_2_points","1","0.00002149225458233667","0.8808115042892157","0.9525712758514596","0.865260355221716","0.2829422226622344","0.869013196512816","0.8615397879127511","0.2179028927802921","0.8806522253787878","0.952147734387352","0.8648439033498183","0.28416428359332063","0.8701553934933189","0.8595968632228101"
"a3tgcn_2_points_seed2_fold0","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","a3tgcn_2_points_kfold","-","","0","a3tgcn_2_points","2","0.00002149225458233667","0.881625306372549","0.9528473576224494","0.8659380218159738","0.2799290612949","0.8713232085188095","0.8606189921979396","0.2264471810457263","0.8828716856060606","0.95357435151513","0.867402415912093","0.27733740689323894","0.872345545907857","0.8625149905773514"
"a3tgcn_2_points_seed2_fold1","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","a3tgcn_2_points_kfold","-","","1","a3tgcn_2_points","2","0.00002149225458233667","0.8809359681372549","0.9524727023860032","0.8649229900288923","0.2804578304229206","0.8718358588070422","0.8581188844346739","0.2288514297969039","0.8811468479437229","0.9529445718092816","0.8650273171574794","0.27846159085718636","0.8727621483375959","0.8574283810792804"
"a3tgcn_2_points_seed2_fold2","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","a3tgcn_2_points_kfold","-","","2","a3tgcn_2_points","2","0.00002149225458233667","0.8802370557598039","0.952408904722756","0.8643952041280922","0.28044789945186954","0.8695799162449834","0.8592719513772146","0.22992326868405383","0.8813117221320347","0.95311489039979","0.8656743554043644","0.27796212513742574","0.8704177651201724","0.8609823646417253"
"a3tgcn_2_points_seed2_fold3","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","a3tgcn_2_points_kfold","-","","3","a3tgcn_2_points","2","0.00002149225458233667","0.8811705346200981","0.9524684088877275","0.8652630093414317","0.2814610108892292","0.8716930782943447","0.8589271089271089","0.22451612903182191","0.8817048836580087","0.9528674940166314","0.8660622828095234","0.27979526780604025","0.8711662349417894","0.8610177879719427"
"a3tgcn_2_points_seed2_fold4","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","a3tgcn_2_points_kfold","-","","4","a3tgcn_2_points","2","0.0000021492254582336675","0.8803232230392157","0.9522327383297396","0.8644266331167775","0.28283206884370554","0.8700412636726852","0.8588840036208457","0.22128132551327984","0.8818274824134199","0.952872458152782","0.8662580679116011","0.28075366855300926","0.871054961126934","0.8615137182500785"
"a3tgcn_2_points_seed3_fold0","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","a3tgcn_2_points_kfold","-","","0","a3tgcn_2_points","3","0.00002149225458233667","0.8805673636642157","0.9526778216171666","0.8646011407607604","0.2789191154646964","0.8708919161218376","0.8584005948468162","0.2329489608143312","0.881345542478355","0.9524898172280478","0.8653841542084538","0.27926419927320173","0.8722661613134028","0.8586098923585005"
"a3tgcn_2_points_seed3_fold1","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","a3tgcn_2_points_kfold","-","","1","a3tgcn_2_points","3","0.0000021492254582336675","0.8809311810661765","0.9526822862182576","0.8652023346936121","0.2801239604188274","0.8702629628014478","0.8602002219899351","0.22588736433027545","0.8805084889069265","0.952175396506742","0.8645735011571024","0.28165081297342703","0.8705338620816087","0.8586942038640906"
"a3tgcn_2_points_seed3_fold2","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","a3tgcn_2_points_kfold","-","","2","a3tgcn_2_points","3","0.00002149225458233667","0.8816348805147058","0.9528609622456732","0.8656516919866988","0.2793210722722772","0.8730040439685688","0.8584221472676918","0.22948440839288384","0.8808297821969697","0.9524525796059448","0.8646367054507388","0.2802028527804682","0.8725938705487817","0.8568233513842757"
